word,hu19_sense,num_hu19_senses,pos,init_freq,stable_metric
able,able_1_adjective_1,2,adjective,0.0001261395666243,0.037967892442282616
above,above_1_preposition_1,4,preposition,9.619276303729556e-05,0.03932803476282684
add,add_1_verb_1,4,verb,8.076562179546515e-05,0.016381765721045417
advice,advice_1_noun_1,3,noun,3.6299155863130405e-05,0.03542954986800962
affect,affect_1_verb_1,3,verb,6.352352276047821e-05,0.03186104096024825
afford,afford_1_verb_1,2,verb,2.2686972414456502e-05,0.03871739771687924
after,after_1_preposition_4,8,preposition,1.9057056828143463e-05,0.028203941589084056
air,air_1_noun_4,6,noun,9.0747889657826e-06,0.0367070893549272
all,all_1_adverb_1,5,adverb,7.895066400230863e-05,0.023545302254945943
allow,allow_1_verb_1,3,verb,7.713570620915211e-05,0.028590467359714745
alone,alone_1_None_1,2,None,0.0001533639335217,0.02220863097879376
aloud,aloud_1_adverb_1,2,adverb,1.5427141241830423e-05,0.03777436092464722
already,already_1_adverb_1,2,adverb,0.0002069051884198,0.026414733801099766
always,always_1_adverb_1,2,adverb,0.0001497340179354,0.028889363030874603
among,among_1_preposition_2,4,preposition,6.170856496732169e-05,0.02599171642237105
among,among_1_preposition_3,4,preposition,6.533848055363473e-05,0.02454015884794108
and,and_1_conjunction_1,4,conjunction,0.0114838069648016,0.012627477808753923
and,and_1_conjunction_2,4,conjunction,0.0156217645665706,0.042141798803356424
anger,anger_1_noun_1,2,noun,5.807864938100864e-05,0.04619130522003387
another,another_1_None_2,2,None,0.0001506414968319,0.024562442164688614
any,any_1_None_1,3,None,5.7171170484430384e-05,0.03305953872919088
apart,apart_1_adverb_2,3,adverb,3.3576719173395625e-05,0.032977952788189074
apology,apology_1_noun_1,3,noun,1.270470455209564e-05,0.030700694496056325
appear,appear_1_verb_1,2,verb,0.0002513716543521,0.042556718038990575
apply,apply_1_verb_1,4,verb,1.7242099034986943e-05,0.041823409550297466
approach,approach_1_verb_3,6,verb,9.98226786236086e-06,0.020715943926667788
arm,arm_1_noun_1,6,noun,0.0002168874562822,0.02025245821491761
arrive,arrive_1_verb_5,5,verb,1.6334620138408683e-05,0.04112177431122179
as,as_2_adverb_1,8,adverb,0.0009161064516546,0.01757811489572237
as,as_2_preposition_1,8,preposition,0.0012016461248977,0.035337026831152404
ash,ash_1_noun_1,2,noun,1.996453572472172e-05,0.038467883882278654
associate,associate_1_verb_1,5,verb,2.903932469050432e-05,0.04380578554050169
at,at_1_preposition_2,6,preposition,0.0007705460409891,0.031344830787156185
at,at_1_preposition_4,6,preposition,0.0011367359265997,0.03195785800318308
attendance,attendance_1_noun_1,2,noun,8.167310069204341e-06,0.039735195471626066
attention,attention_1_noun_1,3,noun,0.0001297694822106,0.032836918189456346
avoid,avoid_1_verb_1,2,verb,9.256284745098252e-05,0.05238758757185037
awake,awake_1_adjective_1,2,adjective,2.177949351787824e-05,0.024058034561957937
away,away_1_adverb_3,6,adverb,3.902159255286519e-05,0.04766772954859548
away,away_1_adverb_4,6,adverb,5.263377600153909e-05,0.03391084826921299
awkward,awkward_1_adjective_3,3,adjective,8.167310069204341e-06,0.0330549866586502
bad,bad_1_adjective_1,10,adjective,2.903932469050432e-05,0.024694941891679836
bad,bad_1_adjective_3,10,adjective,2.4501930207613026e-05,0.04249776249659609
bad,bad_1_adjective_7,10,adjective,7.25983117262608e-06,0.03673175480611396
bank,bank_1_noun_2,11,noun,1.5427141241830423e-05,0.03785480351036521
base,base_1_noun_1,14,noun,1.451966234525216e-05,0.04684442353756415
be,be_1_auxiliary verb_1,8,auxiliary verb,0.0043867742959117,0.051876493317287005
be,be_1_auxiliary verb_2,8,auxiliary verb,0.0284336470070093,0.01878317944019639
be,be_1_auxiliary verb_3,8,auxiliary verb,0.0008880729813713,0.02861944690126149
beam,beam_1_verb_3,6,verb,1.088974675893912e-05,0.04080819182098904
beat,beat_1_noun_2,14,noun,5.444873379469561e-06,0.03522025164623044
become,become_1_verb_1,2,verb,0.0001243246088312,0.029631338042923408
