,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
0,1.194679852800309e-09,9.195360589361591e-24,0.0002962462294978925,1.0,2.4469276675495802e-11,1.0,0.1328459914774162,0.00031596649885922735
1,2.957653359786853e-09,6.4402180572039815e-21,0.00040744887533380016,0.5203035999274962,7.818378907105391e-09,1.0,0.15403367581424934,0.00027419248373441497
2,1.3405687981638454e-08,2.3193669101345422e-23,0.0007244966807804682,0.2791288675360014,3.169016481997991e-09,1.0,0.057511763805062996,7.198268582923317e-05
3,1.837033853364226e-10,6.195049844562329e-22,0.00027137078490664304,0.6863116519181036,2.025927919505898e-09,1.0,0.03654612283821713,0.0021760636458873824
4,6.22677007982638e-09,5.463588838823372e-22,2.6322505181506195e-05,0.24172008926205776,1.4281889140151129e-09,1.0,0.05719472448697455,0.00035548088554853444
5,3.195271205369615e-09,7.012796338030647e-22,0.0007884409140669721,0.4462712440060325,4.0658514237606266e-10,1.0,0.11301493343627042,5.287538513670819e-05
6,5.741333212642553e-10,6.7955618976511235e-22,0.0004140263329576396,0.6640481739668072,7.709636584918877e-10,1.0,0.2448881134288905,1.060013300800423e-05
7,1.9339916897618648e-08,5.978971079436296e-22,0.00032025408923751155,0.36120955699987606,2.309269983201065e-09,1.0,0.2975252814573383,7.757390442349668e-05
8,3.7017631059988163e-10,9.691920802857513e-23,7.240276122070484e-05,0.6708893037794461,4.435097213664594e-10,1.0,0.20777357296801446,0.00024278900397673822
9,3.504285358467977e-09,3.348574257594629e-22,0.0002689395119766536,0.4090079100095021,1.1012961709856777e-09,1.0,0.17477113497668528,4.1192221157671936e-05
