,0,1,2,3,4,5,6,7,8,9
0,1.0,0.9356905611462231,0.8344323604172784,0.9750778229962512,0.813260686159948,0.9114978895680798,0.9649393995559254,0.8511796011510457,0.9699637656034549,0.8922173969884314
1,0.9356905611462231,1.0,0.9715568929967763,0.9828038706396919,0.9626525581695787,0.9972110573914243,0.9902024678348578,0.9754770388733565,0.9912540894730464,0.9940815822888913
2,0.8344323604172784,0.9715568929967763,1.0,0.9318810936835997,0.9992951391458862,0.986337652270099,0.9297014222232198,0.9703761297110682,0.9318378851210443,0.9869017953560394
3,0.9750778229962512,0.9828038706396919,0.9318810936835997,1.0,0.9176332856678243,0.9745819551892182,0.9818324575884427,0.9182797092267314,0.9878858883167934,0.9585771838080477
4,0.813260686159948,0.9626525581695787,0.9992951391458862,0.9176332856678243,1.0,0.9797833591722553,0.9167185481668806,0.9677286530994177,0.9185064796743885,0.9819269829469036
5,0.9114978895680798,0.9972110573914243,0.986337652270099,0.9745819551892182,0.9797833591722553,1.0,0.9770424984122825,0.9776953858007214,0.9788121427475213,0.9972224216829095
6,0.9649393995559254,0.9902024678348578,0.9297014222232198,0.9818324575884427,0.9167185481668806,0.9770424984122825,1.0,0.958648894913997,0.9993809203508631,0.9739928531919746
7,0.8511796011510457,0.9754770388733565,0.9703761297110682,0.9182797092267314,0.9677286530994177,0.9776953858007214,0.958648894913997,1.0,0.9532155726721431,0.9905488772128395
8,0.9699637656034549,0.9912540894730464,0.9318378851210443,0.9878858883167934,0.9185064796743885,0.9788121427475213,0.9993809203508631,0.9532155726721431,1.0,0.9732905053493283
9,0.8922173969884314,0.9940815822888913,0.9869017953560394,0.9585771838080477,0.9819269829469036,0.9972224216829095,0.9739928531919746,0.9905488772128395,0.9732905053493283,1.0
