dec_sense,stb_sense
appearance_1_noun_3,connection_1_noun_1
blind_1_verb_2,drive_1_verb_2
melancholy_1_adjective_1,individual_1_adjective_2
distinguish_1_verb_2,manufacture_1_verb_2
save_1_noun_2,wear_1_noun_2
position_1_noun_6,business_1_noun_1
conviction_1_noun_2,conclusion_1_noun_2
press_2_noun_1,scale_3_noun_2
necessary_1_adjective_2,political_1_adjective_1
suite_1_noun_3,paint_1_noun_2
hunger_1_verb_2,parade_1_verb_2
work_1_noun_5,bill_1_noun_5
class_1_verb_1,adopt_1_verb_1
steep_1_noun_1,verge_1_noun_2
some_1_determiner_4,this_1_determiner_1
fancy_1_noun_1,style_1_noun_3
seal_1_noun_3,root_1_noun_2
purpose_1_noun_1,husband_1_noun_1
complexion_1_noun_2,attendance_1_noun_1
combination_1_noun_3,application_1_noun_1
impatient_1_adjective_2,confident_1_adjective_1
fairly_1_adverb_1,rarely_1_adverb_1
reduce_1_verb_6,shower_1_verb_1
expression_1_noun_1,difference_1_noun_1
lady_1_noun_3,name_1_noun_1
term_1_verb_1,load_1_verb_2
exercise_1_noun_3,question_1_noun_1
most_1_adverb_3,then_1_adverb_1
discretion_1_noun_1,preference_1_noun_1
stand_1_verb_6,cover_1_verb_6
drive_1_noun_6,punch_3_noun_1
kindly_1_adjective_1,uneasy_1_adjective_1
plain_1_adjective_3,thick_1_adjective_1
probable_1_adjective_1,constant_1_adjective_1
simplicity_1_noun_1,resistance_1_noun_1
interest_1_noun_3,incident_1_noun_1
composition_1_noun_4,combination_1_noun_1
bound_2_noun_1,smoke_1_noun_1
aged_1_adjective_2,only_1_adjective_1
suit_1_noun_4,copy_1_noun_1
tone_1_noun_1,star_1_noun_2
mere_1_adjective_1,able_1_adjective_1
corrupt_1_adjective_3,serious_1_adjective_1
seat_1_noun_4,gate_1_noun_1
shade_1_noun_4,storm_1_noun_1
word_1_noun_3,hour_1_noun_3
deep_1_noun_1,gain_1_noun_1
holy_1_adjective_1,dead_1_adjective_1
matter_1_noun_3,record_1_noun_1
mail_2_verb_1,swim_1_verb_2
virtue_1_noun_1,reason_1_noun_1
verge_1_noun_1,quiet_1_noun_1
afford_1_verb_2,refuse_1_verb_1
miserable_1_adjective_2,permanent_1_adjective_1
safely_1_adverb_3,gently_1_adverb_1
infinite_1_adjective_1,complete_1_adjective_1
anxious_1_adjective_2,popular_1_adjective_2
embrace_1_noun_2,reading_1_noun_1
behalf_1_noun_3,listen_1_noun_1
original_1_adjective_3,familiar_1_adjective_2
station_1_noun_5,opening_1_noun_2
wreck_1_noun_1,shine_1_noun_1
cry_1_noun_4,eye_1_noun_1
proof_1_noun_1,state_1_noun_3
generally_1_adverb_3,elsewhere_1_adverb_1
likewise_1_adverb_1,properly_1_adverb_1
ignorant_1_adjective_1,previous_1_adjective_1
plot_1_noun_1,dust_1_noun_1
yard_1_noun_2,hail_1_noun_1
personal_1_adjective_5,friendly_1_adjective_1
remote_1_adjective_2,common_1_adjective_1
fond_1_adjective_1,mild_1_adjective_1
motive_1_adjective_2,social_1_adjective_2
tear_1_noun_1,home_1_noun_1
blush_1_noun_1,score_1_noun_2
found_2_verb_2,teach_1_verb_1
watch_1_noun_4,scope_1_noun_1
several_1_adjective_1,certain_1_adjective_1
creature_1_noun_2,universe_1_noun_1
render_1_verb_1,arrive_1_verb_1
