sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
355,275.0,262.0,128,188,21,10,119
36,391.0,265.0,167,207,335,6,196
114,341.0,341.0,171,195,378,191,328
49,33.0,247.0,350,307,174,99,121
272,133.0,177.0,123,389,340,204,91
152,231.0,134.0,172,14,88,147,120
7,242.0,234.0,354,50,317,296,352
369,298.0,335.0,352,89,81,85,368
257,216.0,361.0,116,12,101,20,277
210,322.0,175.0,130,332,29,284,247
176,179.0,297.0,355,348,100,243,220
169,291.0,149.0,173,251,68,108,152
372,289.0,199.0,111,253,313,119,179
287,119.0,198.0,110,152,13,358,134
172,175.0,110.0,129,259,22,128,192
97,50.0,411.0,133,209,169,135,412
339,68.0,370.0,131,359,90,34,384
228,36.0,116.0,132,92,190,152,240
75,334.0,3.0,156,243,376,315,164
8,332.0,146.0,166,55,115,396,339
120,21.0,54.0,349,373,291,321,49
95,165.0,98.0,348,26,363,409,92
205,150.0,239.0,165,212,12,227,178
141,309.0,243.0,139,9,408,225,95
373,160.0,305.0,280,129,385,235,144
308,56.0,138.0,331,25,46,64,340
244,49.0,28.0,358,56,338,405,194
123,152.0,285.0,158,128,269,364,17
360,168.0,270.0,344,200,299,318,168
350,121.0,312.0,342,96,235,45,69
315,197.0,176.0,149,327,369,4,101
354,380.0,354.0,356,166,325,98,322
71,2.0,187.0,91,397,166,158,94
38,356.0,29.0,106,106,35,35,392
139,311.0,164.0,390,232,182,190,313
19,313.0,330.0,392,301,4,248,364
351,229.0,298.0,36,105,199,153,273
64,141.0,289.0,34,271,19,404,183
346,241.0,20.0,397,107,351,247,122
6,268.0,226.0,398,5,281,295,66
189,207.0,142.0,29,90,189,395,278
53,373.0,74.0,401,407,180,3,298
208,48.0,403.0,24,409,45,368,359
119,101.0,307.0,405,161,292,14,238
255,191.0,196.0,16,98,234,15,160
127,376.0,15.0,15,179,301,96,140
374,214.0,91.0,11,412,257,276,305
404,363.0,6.0,409,388,294,169,147
275,407.0,11.0,7,264,336,231,151
226,349.0,231.0,6,49,212,406,169
55,371.0,113.0,5,318,54,400,229
293,194.0,42.0,4,321,200,305,386
349,122.0,379.0,3,235,126,27,257
157,100.0,313.0,2,306,98,280,106
223,129.0,351.0,42,48,246,347,259
186,412.0,141.0,45,162,358,221,174
259,290.0,111.0,104,339,201,48,35
253,344.0,151.0,52,157,150,359,20
159,362.0,4.0,363,402,305,180,108
138,328.0,129.0,364,315,225,137,55
312,53.0,311.0,369,93,72,75,111
193,58.0,407.0,176,400,18,52,279
405,1.0,350.0,87,51,355,121,222
229,93.0,166.0,85,223,306,203,48
13,134.0,209.0,84,42,27,11,130
333,182.0,325.0,371,313,349,175,203
149,177.0,327.0,79,117,364,226,149
233,44.0,137.0,74,80,56,399,31
11,20.0,16.0,71,277,265,316,243
101,12.0,64.0,70,221,319,273,254
124,123.0,409.0,379,406,59,88,394
109,186.0,21.0,380,136,25,398,397
337,395.0,263.0,381,202,198,107,162
147,75.0,132.0,382,365,330,132,74
234,397.0,304.0,59,66,303,187,185
99,18.0,405.0,58,208,393,336,406
187,27.0,294.0,386,144,287,313,103
266,80.0,352.0,175,76,220,371,187
310,95.0,49.0,279,52,285,272,317
33,221.0,65.0,203,132,337,385,170
15,265.0,288.0,262,226,298,206,135
162,78.0,130.0,258,328,267,334,226
96,378.0,286.0,289,333,6,84,234
358,283.0,80.0,302,138,32,36,110
76,389.0,374.0,196,260,334,117,345
156,146.0,140.0,222,4,221,87,204
4,236.0,395.0,199,399,28,314,199
37,15.0,398.0,200,396,64,282,180
371,120.0,192.0,221,360,176,49,366
188,239.0,161.0,237,286,10,356,276
88,301.0,259.0,247,18,23,317,387
30,361.0,183.0,228,283,116,110,126
67,393.0,401.0,204,88,44,390,341
341,69.0,37.0,205,43,99,5,404
125,400.0,62.0,312,170,83,299,70
366,227.0,7.0,207,187,95,55,399
34,278.0,144.0,208,100,30,82,209
292,249.0,390.0,297,8,71,242,338
215,149.0,338.0,304,198,365,279,56
378,266.0,173.0,246,82,92,156,73
98,369.0,26.0,245,393,242,160,357
248,144.0,295.0,239,134,371,136,184
164,118.0,70.0,305,158,155,328,260
163,350.0,253.0,306,133,162,205,80
261,208.0,342.0,234,111,216,322,344
260,262.0,63.0,299,38,275,100,227
83,51.0,228.0,193,186,322,120,3
70,81.0,315.0,301,121,372,116,189
392,7.0,169.0,327,213,307,361,167
326,205.0,242.0,326,386,108,263,5
327,83.0,87.0,227,65,179,214,83
22,396.0,349.0,276,222,264,389,316
85,91.0,124.0,282,194,58,327,248
362,254.0,372.0,274,316,401,233,157
115,126.0,273.0,181,1,259,307,361
150,178.0,280.0,226,189,350,202,353
79,320.0,67.0,183,292,145,292,324
60,172.0,336.0,271,241,103,215,105
335,200.0,237.0,270,17,85,149,303
195,335.0,375.0,231,214,310,211,304
290,259.0,258.0,264,99,133,222,390
82,65.0,373.0,322,273,297,111,64
283,374.0,204.0,186,262,403,151,380
213,98.0,317.0,189,220,274,312,30
90,43.0,210.0,233,36,389,193,214
151,28.0,99.0,285,11,405,59,297
32,305.0,118.0,300,190,111,37,233
116,106.0,397.0,192,330,232,208,246
2,329.0,82.0,378,6,3,277,212
175,255.0,88.0,64,302,343,131,311
194,347.0,139.0,65,311,276,351,207
216,308.0,165.0,241,149,300,375,127
391,198.0,158.0,298,369,167,167,314
219,230.0,106.0,77,314,49,183,7
29,411.0,219.0,80,199,122,47,288
367,77.0,353.0,89,127,157,140,133
322,379.0,153.0,63,37,31,362,116
145,333.0,308.0,328,141,42,381,373
93,99.0,381.0,242,299,388,102,385
403,47.0,115.0,261,250,400,346,47
72,199.0,412.0,277,378,381,297,408
376,331.0,189.0,272,31,107,66,208
314,215.0,66.0,283,29,357,397,4
222,31.0,126.0,13,97,96,388,255
357,323.0,24.0,17,119,73,77,377
399,408.0,232.0,266,356,224,311,16
167,112.0,1.0,265,109,236,143,191
183,314.0,292.0,403,257,272,86,138
343,11.0,14.0,286,357,195,138,326
41,260.0,17.0,26,249,77,374,232
