,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
sem_dens,1.0,-0.09024785880875127,-0.4561609257004263,-0.0335527815202418,-0.012977755113589843,0.19169709703693574,-0.1930910841656996,-0.04093516376782895
demand,-0.09024785880875127,1.0,0.03592948310131555,-0.010837011404959579,0.4049876810229381,-0.21152281726794592,-0.04746335931573975,0.03619376166022059
s_perph,-0.4561609257004263,0.03592948310131555,1.0,0.5835227638825464,-0.013339348671876769,-0.17331325744993956,0.4048028090067962,0.15315005188254108
s_num,-0.0335527815202418,-0.010837011404959579,0.5835227638825464,1.0,-0.011890027274834658,-0.009005207970272757,0.4526697684861723,0.11363726223167808
conc,-0.012977755113589843,0.4049876810229381,-0.013339348671876769,-0.011890027274834658,1.0,-0.14486161092679126,-0.1728224845539147,-0.07013972387163828
val,0.19169709703693574,-0.21152281726794592,-0.17331325744993956,-0.009005207970272757,-0.14486161092679126,1.0,-0.022209617568725176,-0.12132996976260697
w_freq,-0.1930910841656996,-0.04746335931573975,0.4048028090067962,0.4526697684861723,-0.1728224845539147,-0.022209617568725176,1.0,0.16146272409916962
c_div,-0.04093516376782895,0.03619376166022059,0.15315005188254108,0.11363726223167808,-0.07013972387163828,-0.12132996976260697,0.16146272409916962,1.0
