match_num,sense,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
1,combination_1_noun_3,0.5994006542019986,-0.33811758111006224,0.2576876831793752,3,0.18083092141961643,0.4083898690825434,4.9003860415226045e-05,0.3735654056072235
2,suite_1_noun_3,0.5357732505149018,-0.33811758111006224,0.22057944636174143,1,0.3905942213503253,0.44654162657092833,1.81495779315652e-06,0.4337282180786133
3,hunger_1_verb_2,0.6236090106303867,-0.33811758111006224,0.09579406122474998,2,0.1332810240851212,0.03793665053829631,2.3594451311034762e-05,0.40017036
4,fancy_1_noun_1,0.6398372594552719,-0.4133834586466166,0.31769703352916007,7,-0.33023364308254655,0.7775929537226407,0.00012432460883122164,0.4304704666137695
5,fairly_1_adverb_1,0.7293932859868946,-0.20827067669172933,0.1435963093710112,2,-0.6839295069634757,0.8781106892313577,4.6281423725491265e-05,0.40236983
6,save_1_noun_2,0.6034727531809218,-0.33811758111006224,0.3546919045797736,5,0.009141476642815949,0.5382604068254775,0.00028041097904260435,0.4456269145011902
7,discretion_1_noun_1,0.6690255066833943,-0.8204511278195488,0.16385655278200534,2,-0.5320015987772231,0.33247553515054307,4.900386041522605e-05,0.28072938
8,position_1_noun_6,0.6995299682408215,-0.18947368421052632,0.24575957331514137,5,-0.295257538001898,0.023486873455706103,5.626369158785212e-05,0.2650461792945862
9,class_1_verb_1,0.650565681665801,-0.24327485380116956,0.3783960152015289,4,-0.204611189504468,0.11820768538689208,0.0001315844400038477,0.4065889418125152
10,necessary_1_adjective_2,0.7177424141939731,-0.3306766917293233,0.23341966246742726,3,-0.5898707890688373,0.20581609450142846,0.00030037551476724784,0.36834934
11,conviction_1_noun_2,0.7464286917455505,-0.46599832915622386,0.20207420242313734,2,-0.611381293919564,0.7928241072501887,5.0818818208382564e-05,0.3264609
12,steep_1_noun_1,0.6119169832403181,0.11177944862155388,0.32664357932615823,4,0.5889255689598123,0.16209819227298805,1.81495779315652e-05,0.3077417016029358
13,exercise_1_noun_3,0.6756461131420386,-0.7384962406015038,0.332803134617432,6,-0.23983405092096577,0.0005819755873721633,0.00020055283614379548,0.29902503
14,appearance_1_noun_3,0.6924544000009442,-0.1568421052631579,0.21478128075343697,3,0.012218626161071722,0.6257523244742149,0.00012613956662437813,0.42588142
15,second_1_verb_1,0.6571038536556204,-0.33811758111006224,0.4292779179541055,6,-0.20661276761174197,0.04702309377925573,0.0001660686380738216,0.47296035
16,distinguish_1_verb_2,0.6980828609780789,0.10158730158730159,0.15032888770109334,3,-0.24729548994973038,0.6406415287872447,6.261604386389995e-05,0.44641578
17,stand_1_verb_6,0.6106425938976623,0.2562406015037594,0.3797642582552016,9,0.3671067376147277,0.08835906940752558,0.00018694065269512158,0.5395360589027405
18,drive_1_noun_6,0.6620811326085236,-0.3044277360066833,0.3298705176282145,5,0.5261517317331141,0.12652611451055584,0.00014519662345252165,0.4880978167057037
