topic,value
Dep. Variable,preds
Model,Logit
Method,MLE
Date,Wed
Time,11:32:06
converged,True
No. Observations,278
Df Residuals,269
Df Model,8
06 Dec 2023,Pseudo R-squ.
Log-Likelihood,-122.77
LL-Null,-192.69
