,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
sem_dens,1.0,-0.0805878926799783,-0.4143330503035579,-0.008054594782689453,-0.025451371800315342,0.17060913366327315,-0.20266115735546278,0.006286488196172566
demand,-0.0805878926799783,1.0,0.04616262966702803,0.06137886149189308,0.4019911420847435,-0.13527977612294012,-0.053011207157976074,0.04081985936892027
s_perph,-0.4143330503035579,0.04616262966702803,1.0,0.5560660345596072,0.006008848291952793,-0.14535684961153653,0.3366485379693674,0.07813666493882246
s_num,-0.008054594782689453,0.06137886149189308,0.5560660345596072,1.0,0.03034148008584884,-0.05786533791764265,0.36225100939113697,0.06193478550059714
conc,-0.025451371800315342,0.4019911420847435,0.006008848291952793,0.03034148008584884,1.0,-0.16658946526253857,-0.1623443035805716,-0.040032907862138006
val,0.17060913366327315,-0.13527977612294012,-0.14535684961153653,-0.05786533791764265,-0.16658946526253857,1.0,-0.04164221782248664,-0.11298840189482112
w_freq,-0.20266115735546278,-0.053011207157976074,0.3366485379693674,0.36225100939113697,-0.1623443035805716,-0.04164221782248664,1.0,0.0656467408992201
c_div,0.006286488196172566,0.04081985936892027,0.07813666493882246,0.06193478550059714,-0.040032907862138006,-0.11298840189482112,0.0656467408992201,1.0
