match_num,sense,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
1,connection_1_noun_1,0.7301574261797923,-0.08240601503759401,0.2503389550654989,3,0.012654335327638933,0.25116498791183517,9.34703263475608e-05,0.42378217
2,individual_1_adjective_2,0.7118096273872447,0.24812030075187969,0.13839159416114052,3,-0.3402935170747998,0.2807085056629308,0.00021144258290263474,0.32591975
3,political_1_adjective_1,0.7303674756027803,0.23759398496240597,0.06470986876327056,2,-0.16284865699523632,0.23188273563798578,0.00018331073710870863,0.27292988
4,confident_1_adjective_1,0.7402250949642907,-0.37819548872180453,0.07598661874227197,2,-0.594710773368508,0.9044881967709841,2.359445131103476e-05,0.37882757
5,drive_1_verb_2,0.6934590550169435,0.15744360902255639,0.2918128489650497,5,0.2528216834623316,0.04430511903313139,0.00014519662345252165,0.4631761014461517
6,adopt_1_verb_1,0.700938671226074,-0.04105263157894735,0.28842350543971973,4,0.3658659702667775,0.9400902687662125,0.0001070825097962347,0.4779121
7,conclusion_1_noun_2,0.6916301859606164,-0.027067669172932334,0.09653257581016284,2,-0.42783391590133846,0.22437042458737988,5.6263691587852124e-05,0.31167197
8,verge_1_noun_2,0.582874129441476,0.03508771929824564,0.28392793189291643,2,-0.17675239083201877,0.5102206979369353,1.3612183448673903e-05,0.384945660829544
9,punch_3_noun_1,0.6664858143941801,0.17276524644945696,0.19695452131467298,1,0.5773227127124594,0.6607845775156651,2.7224366897347803e-06,0.3765190541744232
10,cover_1_verb_6,0.6624198983132211,-0.311578947368421,0.36212369691789864,9,0.27388881994004644,0.19594884591705242,7.804318510573037e-05,0.4811815321445465
11,style_1_noun_3,0.7124169648703012,-0.325563909774436,0.22494867228427273,4,-0.07010713672886748,0.8300173060471474,8.89329318646695e-05,0.3736028373241424
12,preference_1_noun_1,0.6834664549104841,-0.07533834586466165,0.15637962554891333,2,-0.5996797251372192,0.25503344910845804,3.0854282483660845e-05,0.39926097
13,paint_1_noun_2,0.6350670609731748,0.22165413533834583,0.2340957609222007,4,0.6596639778356965,0.5915603291049774,0.0001134348620722825,0.3833775520324707
14,then_1_adverb_1,0.6660427988421187,0.14202172096908938,0.181235194218631,3,-0.6069327938936566,0.532605459672685,0.00027315114787001724,0.45189258
15,bill_1_noun_5,0.6676009423919782,0.3157894736842105,0.2175372186671462,5,0.722437167588267,0.09143279590530806,8.621049517493471e-05,0.3220926821231842
16,parade_1_verb_2,0.739008100359457,-0.044930886341632045,0.18142897296778168,4,0.398908872425916,0.3289187462602303,1.633462013840868e-05,0.6032206416130066
17,business_1_noun_1,0.6605453230662157,0.049791144527986594,0.2620516832741245,7,0.10349709862502543,0.15577624857642558,0.00014973401793541292,0.36162648
18,difference_1_noun_1,0.7234712121417459,0.1777443609022556,0.10035856965054729,2,-0.32005085490731044,0.20829354489868468,9.074788965782601e-05,0.35270816
19,husband_1_noun_1,0.6548448024016859,0.3628571428571429,0.19695452131467298,1,0.43325416115560333,0.39465168387752847,0.0002749661056632,0.34396377
20,rarely_1_adverb_1,0.7571376078648915,-0.545563909774436,0.13638010355394148,2,-0.7283154695899037,0.18697174682527606,4.3558987035756485e-05,0.36139318
21,scale_3_noun_2,0.6422571359112547,-0.40864661654135337,0.3662722211411628,6,0.11711684782887755,0.14172979576912503,4.99113393118043e-05,0.3621598482131958
22,question_1_noun_1,0.6628418473926896,-0.11804511278195488,0.23258516703427576,4,-0.008523404504388488,0.21491954928670154,0.00023594451311025644,0.35781828
23,this_1_determiner_1,0.6390709378347675,-0.044930886341632045,0.2082797998491729,4,-0.23291766321485508,0.6373623677746965,0.0003811411365627347,0.4766391217708587
24,wear_1_noun_2,0.5822140674902034,-0.044930886341632045,0.3910613436859786,6,0.24705405758291343,0.8310686486286212,0.0001397517500730521,0.5035743117332458
25,root_1_noun_2,0.6411296255725336,-0.19669172932330828,0.3967100279782401,6,-0.027651710667202067,0.2713260481201143,3.992907144944344e-05,0.3444952964782715
26,shower_1_verb_1,0.7609720115878031,0.21609022556390975,0.3507675912438142,4,0.5846408279044772,0.5953873969127859,2.087201462129998e-05,0.349643737077713
27,load_1_verb_2,0.7233426081877196,0.46165413533834576,0.2854190620724772,7,0.7049787782630998,0.028469098217065003,3.539167696655214e-05,0.4849723279476166
28,manufacture_1_verb_2,0.6984829890289548,-0.026616541353383462,0.18055595468034213,3,0.0731918455777012,0.33397323873449647,2.0872014621299982e-05,0.4232
29,name_1_noun_1,0.6659312349839395,-0.044930886341632045,0.21321265671863876,4,0.24618564308389868,0.49706930541320915,0.0003275998816647217,0.4402013719081878
30,attendance_1_noun_1,0.6768539025092379,-0.044930886341632045,0.16151316524807052,2,0.05918818813238591,0.6484038005659158,1.0889746758939121e-05,0.31752595
31,gate_1_noun_1,0.7230464533080796,0.7243107769423558,0.05867040877849278,2,0.9934948135597415,0.08547345532282158,3.9021592552865185e-05,0.276301771402359
32,storm_1_noun_1,0.7433018360960486,-0.4236090225563909,0.2549056867710503,5,0.7984555158316438,0.1592409993303301,0.0001678835958669652,0.3278447389602661
33,hour_1_noun_3,0.6613707339957886,0.07037593984962405,0.2576960431503422,5,0.18644186854480704,0.18366863852849047,0.00025409409104188254,0.37129575
34,serious_1_adjective_1,0.7596929237222609,-0.044930886341632045,0.17647339640571955,3,-0.4173050123743596,0.17307222327787297,6.624595945021299e-05,0.40341997
35,resistance_1_noun_1,0.7037538994101351,-0.08917293233082706,0.19695452131467298,1,-0.21114016992198303,1.0382945994910715,3.2669240276817365e-05,0.3205991685390472
