,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
sem_dens,1.0,-0.04933827585405859,-0.44409334532453765,-0.08815775779365265,-0.15976193016146245,0.21223883125217397,-0.12769198403171308,0.029932682671459723
demand,-0.04933827585405859,1.0,0.12369033338272495,0.09939662889239524,0.3611309616410171,-0.17852792433732523,-0.044960644888010964,0.08050786414910197
s_perph,-0.44409334532453765,0.12369033338272495,1.0,0.7349845290943033,0.2912982453241611,-0.3095849955879737,0.3354833041066633,0.2154289459136432
s_num,-0.08815775779365265,0.09939662889239524,0.7349845290943033,1.0,0.30604512354589125,-0.1895759894502764,0.3029867923725713,0.12718969996971968
conc,-0.15976193016146245,0.3611309616410171,0.2912982453241611,0.30604512354589125,1.0,-0.30466926184683185,-0.05806205491327588,-0.025334405889868163
val,0.21223883125217397,-0.17852792433732523,-0.3095849955879737,-0.1895759894502764,-0.30466926184683185,1.0,-0.022418232017784763,-0.16283898271260164
w_freq,-0.12769198403171308,-0.044960644888010964,0.3354833041066633,0.3029867923725713,-0.05806205491327588,-0.022418232017784763,1.0,0.159401411683544
c_div,0.029932682671459723,0.08050786414910197,0.2154289459136432,0.12718969996971968,-0.025334405889868163,-0.16283898271260164,0.159401411683544,1.0
