,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
0,1.194679852800309e-09,4.1179303155395796e-36,0.0009629706998584,1.0,2.44692766754958e-11,1.0,0.1328459914774162,0.0003159664988592
1,3.4621033064482092e-09,4.494631585039336e-32,1.4699588631048271e-05,0.4535025932933648,2.2273481895837807e-10,1.0,0.0898367499884795,0.0005969986424569
2,5.7429335730628154e-09,1.627447704841049e-33,7.007110940860655e-05,0.3631874920392446,1.920020938839865e-09,1.0,0.0305261845679763,4.643340241554287e-05
3,9.347859840396064e-09,4.391001504648352e-36,0.0003954091550165,0.8164290513914005,3.008334087877977e-10,1.0,0.3724703545816695,0.0002182803444432
4,1.0111626248256808e-08,8.159061421780116e-36,0.0010351911630611,0.4908430719028944,5.024080764419722e-10,1.0,0.0267131223131398,0.0001232721735625
5,3.82301596796544e-10,2.5084689102216285e-35,0.0035554897833747,1.0,1.882883425354019e-10,1.0,0.0289988269080697,0.0003373053880795
6,7.129062317982284e-09,1.725797067209192e-35,0.000274639386352,0.3840327076674286,2.9012280753085243e-11,1.0,0.0507614034480826,0.000377623242741
7,3.302764251083912e-10,1.0414190373482996e-32,0.0001896869223705,0.2957061990666795,6.758246443802968e-10,1.0,0.0231206135527503,0.0003304869626323
8,5.025614329412273e-09,6.85963723433933e-38,0.0004334631209661,1.0,3.9662801722181766e-11,1.0,0.0864865903381083,5.610431259646412e-05
9,2.597081375370965e-09,5.932903066916715e-37,9.6877625896328e-05,0.2326079372116558,7.247234833744057e-10,1.0,0.2219094893584433,0.0001963132709987
