topic,value
Dep. Variable,preds
Model,Logit
Method,MLE
Date,Tue
Time,18:48:33
converged,True
No. Observations,414
Df Residuals,405
Df Model,8
26 Dec 2023,Pseudo R-squ.
Log-Likelihood,-165.13
LL-Null,-286.96
