,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
sem_dens,1.0,-0.013985534897688818,-0.437085933087168,-0.09661689791799702,-0.1844121321813486,0.22551512336404622,-0.15891328379802575,-0.05884018795622545
demand,-0.013985534897688818,1.0,0.07300009990652581,0.049855511182893844,0.2893496019427981,-0.15297214681915666,-0.03297879196449365,0.07535882152067379
s_perph,-0.437085933087168,0.07300009990652581,1.0,0.6832296010298866,0.29604900028772735,-0.2749533809288489,0.3359604648509954,0.2718703187833725
s_num,-0.09661689791799702,0.049855511182893844,0.6832296010298866,1.0,0.31201865738837486,-0.1621776498669022,0.31138529509018553,0.18694072563235742
conc,-0.1844121321813486,0.2893496019427981,0.29604900028772735,0.31201865738837486,1.0,-0.3032308868724718,-0.04076338512344916,0.007450742966261934
val,0.22551512336404622,-0.15297214681915666,-0.2749533809288489,-0.1621776498669022,-0.3032308868724718,1.0,-0.004727899888955183,-0.18130590961114046
w_freq,-0.15891328379802575,-0.03297879196449365,0.3359604648509954,0.31138529509018553,-0.04076338512344916,-0.004727899888955183,1.0,0.15546359209082114
c_div,-0.05884018795622545,0.07535882152067379,0.2718703187833725,0.18694072563235742,0.007450742966261934,-0.18130590961114046,0.15546359209082114,1.0
