,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
sem_dens,1.0,-0.08873777954905866,-0.4632295669281877,-0.014243832330773818,-0.0008493784719654253,0.1923085333398416,-0.22422613404454259,-0.05064358523253163
demand,-0.08873777954905866,1.0,0.01831627520859573,-0.01613931687584531,0.37274321179851916,-0.1481931782869975,0.00599438636311394,0.053057326046052025
s_perph,-0.4632295669281877,0.01831627520859573,1.0,0.41972289585317907,-0.0308542676624752,-0.17009059638535312,0.30139262408072004,0.1169026501198496
s_num,-0.014243832330773818,-0.01613931687584531,0.41972289585317907,1.0,-0.03914092323407552,-0.006866919893985754,0.3787935823148247,0.06563377436925022
conc,-0.0008493784719654253,0.37274321179851916,-0.0308542676624752,-0.03914092323407552,1.0,-0.08898417374621918,-0.14466021893389328,-0.12346003043565071
val,0.1923085333398416,-0.1481931782869975,-0.17009059638535312,-0.006866919893985754,-0.08898417374621918,1.0,-0.00713086534006159,-0.06289142025887705
w_freq,-0.22422613404454259,0.00599438636311394,0.30139262408072004,0.3787935823148247,-0.14466021893389328,-0.00713086534006159,1.0,0.1502231514639367
c_div,-0.05064358523253163,0.053057326046052025,0.1169026501198496,0.06563377436925022,-0.12346003043565071,-0.06289142025887705,0.1502231514639367,1.0
